,questions,correct answers
0,"For normal weight people and without diabetes, the probability of long lifespan is 32%. For normal weight people and with diabetes, the probability of long lifespan is 60%. For obese people and without diabetes, the probability of long lifespan is 62%. For obese people and with diabetes, the probability of long lifespan is 81%. For normal weight people and nonsmokers, the probability of having diabetes is 57%. For normal weight people and smokers, the probability of having diabetes is 68%. For obese people and nonsmokers, the probability of having diabetes is 31%. For obese people and smokers, the probability of having diabetes is 19%. The overall probability of smoker is 88%. If we disregard the mediation effect through diabetes, would obesity positively affect lifespan?",yes
1,"For nonsmokers, the probability of lung cancer is 26%. For smokers, the probability of lung cancer is 49%. Does smoking positively affect lung cancer through tar deposit?",yes
2,"For individuals who are not male, the probability of admission acceptance is 78%. For individuals who are male, the probability of admission acceptance is 67%. Will male gender increase the chance of admission acceptance?",no
3,"For nonsmokers and with no tar deposit, the probability of lung cancer is 41%. For nonsmokers and with high tar deposit, the probability of lung cancer is 67%. For smokers and with no tar deposit, the probability of lung cancer is 40%. For smokers and with high tar deposit, the probability of lung cancer is 68%. For nonsmokers, the probability of high tar deposit is 34%. For smokers, the probability of high tar deposit is 83%. For smokers, would it be less likely to see lung cancer if the person had been a nonsmoker?",yes
4,"For nonsmokers and with no tar deposit, the probability of lung cancer is 85%. For nonsmokers and with high tar deposit, the probability of lung cancer is 59%. For smokers and with no tar deposit, the probability of lung cancer is 84%. For smokers and with high tar deposit, the probability of lung cancer is 58%. For nonsmokers, the probability of high tar deposit is 74%. For smokers, the probability of high tar deposit is 29%. For smokers, would it be less likely to see lung cancer if the person had been a nonsmoker?",yes
5,"For nonsmokers, the probability of college admission is 53%. For smokers, the probability of college admission is 27%. Will smoking decrease the chance of college admission?",yes
6,The overall probability of male gender is 83%. The probability of non-male gender and admission acceptance is 11%. The probability of male gender and admission acceptance is 32%. Is the chance of admission acceptance smaller when observing male gender?,yes
7,"Method 1: We look at how treatment correlates with recovery case by case according to gender. Method 2: We look directly at how treatment correlates with recovery in general. To understand how treatment affects recovery, is it more correct to use the Method 1 than Method 2?",yes
8,"For children with unintelligent parents and with low parental social status, the probability of intelligent child is 89%. For children with unintelligent parents and with high parental social status, the probability of intelligent child is 86%. For children with intelligent parents and with low parental social status, the probability of intelligent child is 45%. For children with intelligent parents and with high parental social status, the probability of intelligent child is 47%. For children with unintelligent parents and confounder inactive, the probability of high parental social status is 92%. For children with unintelligent parents and confounder active, the probability of high parental social status is 70%. For children with intelligent parents and confounder inactive, the probability of high parental social status is 55%. For children with intelligent parents and confounder active, the probability of high parental social status is 24%. The overall probability of confounder active is 49%. If we disregard the mediation effect through parents' social status, would parents' intelligence negatively affect child's intelligence?",yes
9,"For patients not consuming citrus, the probability of scurvy is 27%. For patients consuming citrus, the probability of scurvy is 16%. Does eating citrus negatively affect scurvy through vitmain C?",yes
10,"For individuals who are not male and applicants to a non-competitive department, the probability of admission acceptance is 17%. For individuals who are not male and applicants to a competitive department, the probability of admission acceptance is 70%. For individuals who are male and applicants to a non-competitive department, the probability of admission acceptance is 8%. For individuals who are male and applicants to a competitive department, the probability of admission acceptance is 51%. For individuals who are not male, the probability of competitive department is 75%. For individuals who are male, the probability of competitive department is 14%. If we disregard the mediation effect through department competitiveness, would gender positively affect admission status?",no
11,"For husbands that don't set the alarm and wives that don't set the alarm, the probability of ringing alarm is 8%. For husbands that don't set the alarm and wives that set the alarm, the probability of ringing alarm is 54%. For husbands that set the alarm and wives that don't set the alarm, the probability of ringing alarm is 41%. For husbands that set the alarm and wives that set the alarm, the probability of ringing alarm is 86%. For husbands that don't set the alarm, the probability of alarm set by wife is 74%. For husbands that set the alarm, the probability of alarm set by wife is 24%. Does husband negatively affect alarm clock through wife?",yes
12,"For captains who release prisoners, the probability of the prisoner's death is 21%. For captains who execute prisoners, the probability of the prisoner's death is 65%. For captains who execute prisoners, would it be less likely to see the prisoner's death if the captain had ordered the release of the prisoner?",yes
13,The overall probability of the captain's order to execute the prisoner is 18%. The probability of the captain's order to release the prisoner and the prisoner's death is 27%. The probability of the captain's order to execute the prisoner and the prisoner's death is 15%. Is the chance of the prisoner's death smaller when observing the captain's order to execute the prisoner?,no
14,"For people living far from a college, the probability of high salary is 41%. For people living close to a college, the probability of high salary is 59%. For people living far from a college, the probability of college degree or higher is 49%. For people living close to a college, the probability of college degree or higher is 9%. Will college degree or higher increase the chance of high salary?",no
15,We know that confounder active or assignment of drug treatment causes taking of all assigned drugs. confounder active and taking of all assigned drugs causes low cholesterol. We observed the patient is not assigned the drug treatment and confounder inactive. Would the patient has low cholesterol if taking of all assigned drugs instead of not taking of any assigned drugs?,no
16,"Method 1: We look at how drug taken correlates with cholesterol level case by case according to unobserved confounders. Method 2: We look directly at how drug taken correlates with cholesterol level in general. To understand how drug taken affects cholesterol level, is it more correct to use the Method 1 than Method 2?",yes
17,"For people living far from a college, the probability of high salary is 47%. For people living close to a college, the probability of high salary is 62%. For people living far from a college, the probability of college degree or higher is 31%. For people living close to a college, the probability of college degree or higher is 68%. Will college degree or higher decrease the chance of high salary?",no
18,The overall probability of taking the elevator is 10%. The probability of taking the stairs and penguin death is 66%. The probability of taking the elevator and penguin death is 2%. Is the chance of penguin death larger when observing taking the elevator?,no
19,"The overall probability of obesity is 91%. For normal weight people, the probability of long lifespan is 44%. For obese people, the probability of long lifespan is 60%. Is long lifespan more likely than short lifespan overall?",yes
20,"The overall probability of receives treatment is 50%. For patients not receiving treatment, the probability of recovery is 39%. For patients receiving treatment, the probability of recovery is 60%. Is recovery more likely than non-recovery overall?",no
21,"The overall probability of male gender is 83%. For individuals who are not male, the probability of high salary is 19%. For individuals who are male, the probability of high salary is 40%. Is high salary less likely than low salary overall?",yes
22,The overall probability of intelligent parents is 17%. The probability of unintelligent parents and intelligent child is 73%. The probability of intelligent parents and intelligent child is 8%. Is the chance of intelligent child larger when observing intelligent parents?,no
23,We know that the captain's order to execute the prisoner causes the corporal shooting and the private not shooting. the corporal shooting or the private shooting causes the prisoner's death. Would the prisoner is dead if the captain's order to release the prisoner instead of the captain's order to execute the prisoner?,yes
24,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 76%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 44%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 26%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 1%. For those who choose to take the stairs, the probability of penguin happiness is 55%. For those who choose to take the elevator, the probability of penguin happiness is 92%. Does my decision positively affect penguin survival through penguin mood?",no
25,The overall probability of smoking gene is 3%. The probability of nonsmoking gene and lung cancer is 50%. The probability of smoking gene and lung cancer is 2%. Is the chance of lung cancer smaller when observing smoking gene?,no
26,"For people with no pre-conditions and refusing the vaccine, the probability of recovering from the disease is 7%. For people with no pre-conditions and getting the vaccine, the probability of recovering from the disease is 37%. For people with pre-conditions and refusing the vaccine, the probability of recovering from the disease is 65%. For people with pre-conditions and getting the vaccine, the probability of recovering from the disease is 96%. The overall probability of pre-conditions is 41%. For people getting the vaccine, would it be less likely to see recovering from the disease if the person had not refused the vaccine?",yes
27,"For unvaccinated individuals, the probability of smallpox survival is 42%. For vaccinated individuals, the probability of smallpox survival is 33%. Does vaccination status positively affect smallpox survival through getting smallpox and vaccination reaction?",no
28,We know that high poverty and global water company causes clean water. high poverty and clean water causes cholera contraction. We observed the person is served by a local water company and the region has high poverty. Would the person avoids cholera if clean water instead of polluted water?,no
29,"For individuals who are not male and blue-collar workers, the probability of high salary is 31%. For individuals who are not male and white-collar workers, the probability of high salary is 62%. For individuals who are male and blue-collar workers, the probability of high salary is 25%. For individuals who are male and white-collar workers, the probability of high salary is 60%. For individuals who are not male and with low skill levels, the probability of white-collar job is 28%. For individuals who are not male and with high skill levels, the probability of white-collar job is 50%. For individuals who are male and with low skill levels, the probability of white-collar job is 50%. For individuals who are male and with high skill levels, the probability of white-collar job is 80%. The overall probability of high skill level is 11%. If we disregard the mediation effect through occupation, would gender positively affect salary?",no
30,"The overall probability of encouragement is 42%. For students who are not encouraged, the probability of high exam score is 32%. For students who are encouraged, the probability of high exam score is 76%. Is high exam score more likely than low exam score overall?",yes
31,"For those who choose to take the stairs and penguins who are sad, the probability of penguin death is 29%. For those who choose to take the stairs and penguins who are happy, the probability of penguin death is 73%. For those who choose to take the elevator and penguins who are sad, the probability of penguin death is 45%. For those who choose to take the elevator and penguins who are happy, the probability of penguin death is 86%. For those who choose to take the stairs, the probability of penguin happiness is 65%. For those who choose to take the elevator, the probability of penguin happiness is 33%. If we disregard the mediation effect through penguin mood, would my decision positively affect penguin survival?",yes
32,The overall probability of smoking mother is 30%. The probability of nonsmoking mother and normal infant birth weight is 19%. The probability of smoking mother and normal infant birth weight is 17%. Is the chance of normal infant birth weight larger when observing smoking mother?,yes
33,The overall probability of manager signing the termination letter is 19%. The probability of manager not signing the termination letter and employee being fired is 21%. The probability of manager signing the termination letter and employee being fired is 12%. Is the chance of employee being fired smaller when observing manager signing the termination letter?,no
34,"For hospitalized individuals, the correlation between respiratory issues and broken bones is -0.04. If we look at hospitalized individuals, does it mean that respiratory issues affects broken bones?",no
35,We know that male gender or in-state residency causes competitive department. male gender or in-state residency or competitive department causes admission acceptance. We observed the resident is in-state. Would the applicant gets admitted if non-male gender instead of male gender?,yes
36,"For people living far from a college, the probability of high salary is 53%. For people living close to a college, the probability of high salary is 64%. For people living far from a college, the probability of college degree or higher is 80%. For people living close to a college, the probability of college degree or higher is 50%. Will college degree or higher increase the chance of high salary?",no
37,"For people not taking any medication, the probability of healthy heart is 45%. For people taking medication, the probability of healthy heart is 28%. For people taking medication, would it be more likely to see healthy heart if the person had taken no medication?",yes
38,"For people not taking any medication and with low blood pressure, the probability of healthy heart is 48%. For people not taking any medication and with high blood pressure, the probability of healthy heart is 77%. For people taking medication and with low blood pressure, the probability of healthy heart is 20%. For people taking medication and with high blood pressure, the probability of healthy heart is 46%. For people not taking any medication, the probability of high blood pressure is 37%. For people taking medication, the probability of high blood pressure is 60%. Does medication positively affect heart condition through blood pressure?",yes
39,"For captains who release prisoners, the probability of the prisoner's death is 32%. For captains who execute prisoners, the probability of the prisoner's death is 75%. For captains who execute prisoners, would it be less likely to see the prisoner's death if the captain had ordered the release of the prisoner?",yes
40,The overall probability of smoking mother is 34%. The probability of nonsmoking mother and normal infant birth weight is 8%. The probability of smoking mother and normal infant birth weight is 17%. Is the chance of normal infant birth weight larger when observing smoking mother?,yes
41,We know that old age causes low hospital bill. old age and high hospital bill causes recovery. We observed the patient is old. Would the patient doesn't recover if low hospital bill instead of high hospital bill?,yes
42,"For students accepted to elite institutions, the correlation between talent and being hard-working is -0.16. If we look at students accepted to elite institutions, does it mean that talent affects being hard-working?",no
43,"Method 1: We look directly at how personality correlates with appearance in general. Method 2: We look at this correlation case by case according to relationship status. To understand how personality affects appearance, is it more correct to use the Method 1 than Method 2?",yes
44,The overall probability of waking up late is 5%. The probability of waking up on time and arriving to school on time is 44%. The probability of waking up late and arriving to school on time is 4%. Is the chance of arriving to school on time larger when observing waking up late?,yes
45,"The overall probability of manager signing the termination letter is 28%. For managers who don't sign termination letters, the probability of employee being fired is 92%. For managers who sign termination letters, the probability of employee being fired is 49%. Is employee being fired less likely than employee not being fired overall?",no
46,"Method 1: We look directly at how medication correlates with heart condition in general. Method 2: We look at this correlation case by case according to blood pressure. To understand how medication affects heart condition, is it more correct to use the Method 1 than Method 2?",yes
